"species","sequence_id","counts"
"Megabalanus tintinnabulum","RGM.100063",0
"Estheria alberti","RGM.1003386",0
"Callianassa heberti","RGM.1004013",0
"Spirorbis anfractus","RGM.1007039",0
"Conocephalus sulzeri","RGM.1007201",0
"Propebela ","RGM.1008580",0
"Propebela scalaris","RGM.1008602",0
"Propebela scalaris","RGM.1008603",0
"Propebela turricula","RGM.1008624",0
"Propebela turricula","RGM.1008627",0
"Megabalanus tintinnabulum","RGM.102308",0
"Arvicola sp.","RGM.102650",0
"Lepus sp.","RGM.103416",0
"Odobenus sp.","RGM.103706",0
"Felis catus","RGM.103945",0
"Castor fiber","RGM.104055",0
"Balaena sp.","RGM.104740",0
"Mya arenaria","RGM.108124.t",0
"Mya arenaria","RGM.108168",0
"Chamelea striatula","RGM.108184",0
"NA NA","RGM.108184",0
"Cerastoderma edule","RGM.108229",0
"NA NA","RGM.108229",0
"Agathis alba-","RGM.108352",0
"Cerastoderma edule","RGM.108556",0
"NA NA","RGM.108556",0
"Calyptraea tudung","RGM.11132",0
"NA NA","RGM.11132",0
"Cerastoderma ","RGM.112963",0
"NA ","RGM.112963",0
"Barnea cylindrica","RGM.113301",0
"Phaxas pellucidus","RGM.114694",0
"Lamna sp. nov?","RGM.114958.B",0
"Pyrgiscus junghuhni","RGM.11497",0
"Turbonilla junghuhni","RGM.11497",0
"Chirona amaryllis","RGM.11711",0
"Callianassa pugnax","RGM.11730",0
"Callianassa elegans","RGM.11732",0
"Felis catus","RGM.117626",0
"Pseudorca crassidens","RGM.117661",0
"Physeter sp.","RGM.117869",0
"Balaenoptera acutorostrata","RGM.117932",0
"Globicephala melaena","RGM.117991",0
"Arvicola bactonensis","RGM.118002",0
"Physeter sp.","RGM.118033",0
"Physeter sp.","RGM.118043",0
"Balaenoptera acutorostrata","RGM.118046",0
"Balaenoptera acutorostrata","RGM.118146",0
"Orcinus sp.","RGM.118359",0
"Orcinus orca","RGM.12280",0
"Oryctolagus cuniculus","RGM.123615",0
"Phoca sp.","RGM.124255",0
"Delphinapterus leucas","RGM.124489",0
"Phoca sp.","RGM.124989",0
"Stigmatoechos punctatus","RGM.125500",0
"NA NA","RGM.125987",0
"Pododesmus patelliformis","RGM.125987",0
"Cerastoderma glaucum","RGM.126015",0
"NA NA","RGM.126015",0
"Lamna rupeliensis","RGM.127061.B",0
"Cervus elaphus","RGM.1288524",0
"Ovis aries","RGM.1288538",0
"Ovis aries","RGM.1288544",0
"Ovis aries","RGM.1288625",0
"Canis familiaris","RGM.1288769",0
"Canis familiaris","RGM.1288897",0
"Propebela turricula","RGM.1308862",0
"Anomia casanovei","RGM.1310115",0
"Crassostrea sparnacensis","RGM.1310115",0
"Galeorhinus galeus","RGM.1310930",0
"Squatina sp.","RGM.1311111",0
"Squatina hassei","RGM.1311363",0
"Galeorhinus galeus","RGM.1311406",0
"Galeorhinus galeus","RGM.1311407",0
"Scyliorhinus coupatezi","RGM.1311682",0
"Squatina angeloides","RGM.1311869",0
"Squatina angeloides","RGM.1311878",0
"Cetorhinus sp.","RGM.1311882",0
"Scyliorhinus coupatezi","RGM.1311887",0
"Cetorhinus parvus","RGM.1311889",0
"Cetorhinus sp.","RGM.1311901",0
"Cetorhinus sp.","RGM.1311927",0
"Alopias exigua","RGM.1312274",0
"Scyliorhinus gilberti","RGM.1312648",0
"Squatina prima","RGM.1312835",0
"Scyliorhinus coupateri","RGM.1318633",0
"Galeorhinus latus","RGM.1318677",0
"Physogaleus latus","RGM.1318677",0
"Phoca sp.","RGM.132617",0
"Phoca sp.","RGM.133035",0
"Protophormia terranovae","RGM.1332311",0
"Angiostoma politam","RGM.1350608",0
"Mitrella nassoides","RGM.1350608",0
"Pyrene nassoides","RGM.1350608",0
"Gibbula tumida","RGM.1351013",0
"Gibbula tumida","RGM.1351020",0
"Gibbula tumida","RGM.1351023",0
"Gibbula tumida","RGM.1351024",0
"Gibbula tumida","RGM.1351025",0
"Gibbula nehalenniae","RGM.1351034",0
"Margarites crassistriata","RGM.1351034",0
"Gibbula woodi","RGM.1351036",0
"Nassarius reticulatus","RGM.1356848",0
"Tritia reticulata","RGM.1356848",0
"Ovis aries","RGM.138055",0
"Odobenus sp.","RGM.138133",0
"Castor fiber","RGM.138976",0
"Castor fiber","RGM.139867",0
"Balaena mysticetus","RGM.14244",0
"Monodon monoceros","RGM.145196",0
"Globicephala sp.","RGM.145249",0
"Grampus sp.","RGM.145919",0
"Delphinapterus leucas","RGM.146402",0
"Castor fiber","RGM.146652",0
"Physeter sp.","RGM.146944",0
"Cystophora sp.","RGM.147160",0
"Neaera acutissima","RGM.15192",0
"Bison sp.","RGM.152633",0
"Bison priscus","RGM.152870",0
"Odobenus sp.","RGM.152995",0
"Bison priscus","RGM.153079",0
"Bison priscus","RGM.153099",0
"Bison priscus","RGM.153148",0
"Bison priscus","RGM.153460",0
"Bison priscus","RGM.153526",0
"Odobenus sp.","RGM.153565",0
"Delphinapterus leucas","RGM.154107",0
"Canis familiaris","RGM.154460",0
"Felis catus","RGM.154614",0
"Trachurus elegans","RGM.155200",0
"Lamna sp.","RGM.155388",0
"Squatina biforis","RGM.155681",0
"Cetorhinus parvus","RGM.155977",0
"Cetorhinus maximus","RGM.155982",0
"Squatina biforis","RGM.156068",0
"Squatina biforis","RGM.156076",0
"Raja sp.","RGM.156860",0
"Raja sp.","RGM.156912",0
"Dasyatis sp.","RGM.156922",0
"Squalus acanthias","RGM.156944",0
"Raja sp.","RGM.156960",2
"Squalus acanthias","RGM.157043",0
"Raja sp. 3","RGM.157071",0
"Raja sp. 1","RGM.157100",0
"Raja sp. 1","RGM.157114",0
"Raja sp. 1","RGM.157133",0
"Raja sp.","RGM.157442",0
"Squalus sp.","RGM.157458",0
"Squalus sp.","RGM.157460",0
"Squalus sp.","RGM.157465",0
"Callianassa songoensis","RGM.167624",0
"Serpula SP.","RGM.167946",0
"Limnocythere inopinata","RGM.168752",0
"Cypria ophthalmica","RGM.168757",0
"Cypria ophthalmica","RGM.168762",0
"Limnocythere inopinata","RGM.168767",0
"Semicytherura acuticostata","RGM.168785",0
"Cyprideis torosa","RGM.168802",0
"Cytheridea pernota","RGM.168838",0
"Loxoconcha variolata","RGM.168877",0
"Cytheridea pernota","RGM.168973",0
"Loxoconcha subovata","RGM.169030",0
"Cytheridea SP.","RGM.169137",0
"Xestoleberis SP.","RGM.169177",0
"Ilyocypris gibba","RGM.169228",0
"Limnocythere inopinata","RGM.169229",0
"Xestoleberis SP.","RGM.169274",0
"Hemicytherura videns","RGM.169288",0
"Hemicytherura mediterranea","RGM.169289",0
"Cytheromorpha zinndorfi","RGM.169302",0
"Cytheromorpha zinndorfi","RGM.169314",0
"Cytherura bambruggensis","RGM.169347",0
"Cytheridea diversilacunata","RGM.169436",0
