naturalis_id,species_id
RGM.100063,17110
RGM.102308,17110
RGM.377090.1,17110
RMNH.CRUS.C.1444,17110
RMNH.CRUS.C.2159,17110
RMNH.CRUS.C.76,17110
RGM.1008624,23990
RGM.1008627,23990
RGM.1308862,23990
RMNH.MOL.222858,23990
RGM.103945,12072
RGM.117626,12072
RGM.154614,12072
ZMA.MAM.21419,12072
ZMA.MAM.23105,12072
RGM.104055,5416
RGM.138976,5416
RGM.139867,5416
RGM.146652,5416
RGM.449146,5416
RGM.449712,5416
RGM.450882,5416
RGM.61946,5416
RMNH.MAM.41361.a,5416
RMNH.MAM.59766,5416
RGM.108124.t,18671
RGM.108168,18671
RGM.608854,18671
RGM.108184,6010
RGM.503431,6010
ZMA.MOLL.126931,6010
ZMA.MOLL.552,6010
RGM.108229,5658
RGM.108556,5658
RGM.482007,5658
RGM.482142,5658
RGM.482156,5658
RGM.482161,5658
RGM.482190,5658
ZMA.MOLL.430885,5658
RGM.114694,22060
RGM.485448,22060
RMNH.MOL.34163,22060
RMNH.MOL.345187,22060
RMNH.MOL.77490,22060
ZMA.MOLL.125844,22060
ZMA.MOLL.131375,22060
ZMA.MOLL.131385,22060
RGM.117661,24368
RMNH.MAM.2236,24368
RMNH.MAM.2393,24368
RMNH.MAM.2393.a,24368
RMNH.MAM.2393.b,24368
RMNH.MAM.2430,24368
RGM.117932,3690
RGM.118046,3690
RGM.118146,3690
RGM.12280,20362
RMNH.MAM.1487,20362
RMNH.MAM.1982,20362
RMNH.MAM.31247,20362
RMNH.MAM.7514,20362
ZMA.MAM.13490,20362
ZMA.MAM.13492,20362
ZMA.MAM.19756,20362
ZMA.MAM.4211,20362
RGM.123615,20571
RMNH.5069599.b,20571
RMNH.5070007,20571
RMNH.5070235.a,20571
RMNH.MAM.1788.a,20571
RMNH.MAM.1788.b,20571
RMNH.MAM.1789.b,20571
RMNH.MAM.60296,20571
RMNH.MAM.62360,20571
RMNH.MAM.62366,20571
RGM.124489,8811
RGM.146402,8811
RGM.154107,8811
RGM450391,8811
RGM450409,8811
RGM.125987,23392
ZMA.MOLL.430683,23392
RGM.126015,5659
RGM.1288524,5831
RMNH.MAM.59784,5831
RGM.1288538,20682
RGM.1288544,20682
RGM.1288625,20682
RGM.138055,20682
RGM.30648,20682
RGM.93208,20682
RGM.93209,20682
RMNH.MAM.22955.A,20682
RMNH.MAM.45234,20682
RGM.1310930,12312
RGM.1311406,12312
RGM.1311407,12312
RGM.405811.A,12312
RGM.405839.A,12312
RMNH.PISC.23692,12312
RMNH.PISC.31392,12312
RGM.1351013,12532
RGM.1351020,12532
RGM.1351023,12532
RGM.1351024,12532
RGM.1351025,12532
RGM.1356848,29316
RGM.14244,3689
RGM.21003,3689
RGM.69421,3689
RGM.86462,3689
RGM.145196,18490
RMNH.MAM.31236,18490
RMNH.MAM.31237,18490
RMNH.MAM.31240,18490
ZMA.MAM.5064,18490
ZMA.MAM.9793,18490
RGM.155982,5845
ZMA.PISC.104702,5845
RGM.156944,26791
RGM.157043,26791
RGM.168752,15991
RGM.168767,15991
RGM.169229,15991
RGM.597143,15991
RMNH.CRUS.6244,15991
RMNH.CRUS.6252,15991
RMNH.CRUS.8704,15991
RGM.168802,8520
RGM.169228,14708
RGM.609230,14708
RMNH.CRUS.8869,14708
RGM.175245,24900
RGM.175563,23462
RGM.175754,23462
RGM.175805,23462
RGM.176838,23462
RMNH.PISC.12225,23462
RMNH.PISC.27215,23462
ZMA.PISC.116171,23462
ZMA.PISC.119141,23462
RGM.175572,28838
RMNH.PISC.1373,28838
RMNH.PISC.23441,28838
RMNH.PISC.8970,28838
RGM.175621,21609
RGM.175622,21609
RGM.175821,21609
RGM.796289,21609
RGM.796487,21609
RMNH.PISC.15530,21609
ZMA.PISC.108129,21609
ZMA.PISC.114229,21609
RGM.175624,4735
ZMA.PISC.109596,4735
ZMA.PISC.111605,4735
ZMA.PISC.111606,4735
ZMA.PISC.116398,4735
ZMA.PISC.116424,4735
ZMA.PISC.139012,4735
RGM.175708,17644
RGM.796265,17644
RGM.799375,17644
ZMA.PISC.110907,17644
ZMA.PISC.113336,17644
ZMA.PISC.113338,17644
RGM.175743,29309
RGM.175745,29309
RGM.175773,15917
RMNH.PISC.26003,15917
RMNH.PISC.27301,15917
RMNH.PISC.27306,15917
RMNH.PISC.38635,15917
ZMA.PISC.111608,15917
ZMA.PISC.111610,15917
ZMA.PISC.111611,15917
ZMA.PISC.116270,15917
ZMA.PISC.120707,15917
RGM.176185,17461
RGM.176833,17461
RGM.176834,17461
RGM.176188,10193
ZMA.PISC.113481,10193
RGM.176190,18089
RGM.176727,18089
RGM.176740,18089
RGM.176752,18089
RGM.176766,18089
RGM.176770,18089
RGM.176771,18089
RGM.176772,18089
ZMA.PISC.120641,18089
RGM.176516,17045
RGM.176519,17045
RGM.176668.A,17045
RMNH.PISC.35846,17045
RMNH.PISC.36304,17045
RMNH.PISC.37951,17045
ZMA.PISC.112269,17045
ZMA.PISC.122178,17045
ZMA.PISC.122179,17045
ZMA.PISC.122181,17045
RGM.176631,14468
RMNH.PISC.24129,14468
ZMA.PISC.116330,14468
ZMA.PISC.116331,14468
ZMA.PISC.116332,14468
ZMA.PISC.116333,14468
ZMA.PISC.116335,14468
ZMA.PISC.116337,14468
ZMA.PISC.116338,14468
ZMA.PISC.116339,14468
RGM.176860,12662
RGM.176861,12662
ZMA.PISC.110126,12662
ZMA.PISC.110368,12662
ZMA.PISC.110913,12662
ZMA.PISC.111675,12662
ZMA.PISC.120042,12662
RGM.184870,3695
RMNH.CRUS.C.10038,3695
RMNH.CRUS.C.10079,3695
RMNH.CRUS.C.10081,3695
RGM.185635,10325
RGM.246558.11,10325
RMNH.5015493,10325
ZMA.BRYO.21,10325
ZMA.BRYO.715,10325
RGM.186847.5,29788
RGM.186860.4,29788
RGM.186863.1,29788
RGM.186869.4,29788
RGM.330302.5,29788
RMNH.CRUS.C.10256,29788
RMNH.CRUS.C.121,29788
RMNH.CRUS.C.2270,29788
RGM.220035,24448
RMNH.MOL.34265,24448
RMNH.MOL.34266,24448
RMNH.MOL.49935,24448
RMNH.MOL.6076,24448
RMNH.MOL.66844,24448
RMNH.MOL.7112,24448
RMNH.MOL.FW.2859,24448
ZMA.MOLL.2285765,24448
RGM.222429,11465
RGM.340148,11465
RGM.340149,11465
RGM.340150,11465
ZMA.POR.P.26332,11465
RGM.222858,19452
RMNH.MOL.102259,19452
RMNH.MOL.102285,19452
RMNH.MOL.102392,19452
RMNH.MOL.102457,19452
RMNH.MOL.106983,19452
RMNH.MOL.107236,19452
RMNH.MOL.107488,19452
RMNH.MOL.78035,19452
RMNH.MOL.78093,19452
RGM.222890,22677
RMNH.MOL.237666,22677
RMNH.MOL.237667,22677
RMNH.MOL.83554,22677
RMNH.MOL.83562,22677
ZMA.MOLL.372260,22677
ZMA.MOLL.372262,22677
RGM.223510.0,2825
RGM.466672,2825
RGM.466684,2825
RGM.466687,2825
RGM.5849,2825
RGM.609077,2825
RGM.801498,2825
RMNH.MOL.129106,2825
RMNH.MOL.FW.8828,2825
ZMA.MOLL.1166,2825
RGM.223608,4298
RGM.223779,4298
RGM.223833,4298
RGM.607281,4298
ZMA.MOLL.318578,4298
RGM.223623,23031
RGM.935184,23031
RGM.935190,23031
RMNH.MOL.166138,23031
RMNH.MOL.237617,23031
RMNH.MOL.49242,23031
ZMA.MOLL.372871,23031
ZMA.MOLL.372873,23031
ZMA.MOLL.68157,23031
ZMA.MOLL.68158,23031
RGM.224333,29780
RMNH.MOL.117315,29780
RMNH.MOL.5507,29780
RMNH.MOL.5510,29780
ZMA.MOLL.1386,29780
RGM.224434,1978
RMNH.MOL.11711,1978
RMNH.MOL.11712,1978
RGM.224500,28141
RMNH.MOL.34264,28141
RGM.225446,7033
RGM.225805,7033
RGM.503819,7033
RGM.802626,7033
RGM.803045,7033
RGM.931743,7033
RGM.944962,7033
RGM.226240,18355
RGM.807994,18355
RMNH.MOL.24954,18355
RMNH.MOL.316759,18355
RMNH.MOL.AD.12510,18355
RMNH.MOL.AD.22487,18355
ZMA.MOLL.175687,18355
ZMA.MOLL.412522,18355
ZMA.MOLL.55647,18355
RGM.235953,2566
RGM.235955,2566
RGM.235964,2566
RGM.235981,2566
RGM.235988,2566
RMNH.MAM.16123,2566
RMNH.MAM.45262,2566
RMNH.MAM.5850.a,2566
RMNH.MAM.58672.b,2566
RGM.245047,9540
RGM.245076.13,4043
RGM.245580.0,4043
RGM.246557.25,4043
RGM.245078.8,18161
RGM.245740.20,18161
RGM.246396.2,18161
RGM.246399.3,18161
RGM.915649,18161
RMNH.BRY.20155,18161
RMNH.BRY.20156,18161
RMNH.BRY.20159,18161
RMNH.BRY.2749,18161
ZMA.BRYO.944.d,18161
RGM.246095.2,5511
RGM.246331.4,5511
RGM.246332.3,5511
RGM.246345.4,5511
RGM.246348.3,5511
RGM.246353.3,5511
RGM.246354.3,5511
RGM.246355.4,5511
RGM.246358.4,5511
RGM.246823.1,5511
RGM.246331.5,11167
RGM.246345.5,11167
RGM.246354.4,11167
RGM.915669,11167
RMNH.BRY.1839,11167
RMNH.BRY.2228,11167
ZMA.BRYO.1097,11167
RGM.246659,10412
RGM.247819.1,3154
RMNH.BRY.1757,3154
RMNH.BRY.1758,3154
RMNH.BRY.20731,3154
RMNH.BRY.2321,3154
RMNH.BRY.2785,3154
ZMA.BRYO.2079,3154
ZMA.BRYO.260,3154
RGM.260974,25695
RMNH.PISC.2569,25695
RMNH.PISC.26328,25695
RMNH.PISC.2646,25695
RMNH.PISC.27700,25695
RMNH.PISC.7045,25695
ZMA.PISC.104520,25695
