"synonym_id","species_id","synonym_name","identification_reference"
1,242,"Achlya flavicornis","Linnaeus, 1758"
2,807,"Agonopterix oinochroa","Turati, 1879"
3,16467,"Lophuromyopus apodemi","Fain, 1965"
4,3967,"Beris strobli","Dusek & Rozkosny, 1968"
5,5284,"Carassius auratus","Linnaeus, 1758"
6,5388,"Caryocolum proxima","Haworth, 1828"
7,7588,"Coregonus lavaretus","Linnaeus, 1758"
8,8948,"Dero nivea","Aiyer, 1929"
9,9503,"Dipolydora caulleryi","Mesnil, 1897"
10,10845,"Epicrius mollis","Kramer, 1876"
11,11942,"Exogone dispar","Webster, 1879"
12,12093,"Ferrissia fragilis","Tryon, 1863"
13,12168,"Folsomia thalassophila","Bagnall, 1940"
14,12672,"Glyptotendipes mancunianus","Edwards, 1929"
15,14213,"Hydroides norvegica","Gunnerus, 1768"
16,14366,"Hylaeus gibbus","Saunders, 1850"
17,14848,"Isotomurus ciliatus","Stach, 1947"
18,15381,"Lasioseius penicilliger","Berlese, 1916"
19,16989,"Marenzelleria wireni","Augener, 1913"
20,18056,"Microgaster auriculata","Fabricius, 1804"
21,18661,"Musculus subpicta","Cantraine, 1835"
22,18665,"Mustela putorius","Linnaeus, 1758"
23,19411,"Nephrotoma scalaris","Meigen, 1818"
24,19417,"Nephtys hombergii","Savigny, 1818"
25,20336,"Orbinia sertulata","Savigny, 1820"
26,21739,"Pergamasus longicornis","Berlese, 1906"
27,21751,"Pergamasus similis","Willmann, 1953"
28,24386,"Pseudosmittia curticosta","Edwards, 1929"
29,25025,"Rhagoletis indifferens","Curran, 1932"
30,25473,"Sabellaria spinulosa","Leuckart, 1849"
31,26003,"Scutomegninia ibidis","Trouessart, 1885"
32,26231,"Sigalion mathildae","Audouin & Milne-Edwards, 1830"
33,26277,"Simocephalus exspinosus","De Geer, 1778"
34,26499,"Solmaris corona","Keferstein & Ehlers, 1861"
35,26840,"Stegopterna trigonium","Lundström, 1911"
36,26958,"Stenosemus albus","Linnaeus, 1767"
37,28654,"Tipula nodicornis","Meigen, 1818"
38,28992,"Trichodectes octomaculatus","Paine, 1912"
