species_marker_id,database_id,species_id,bin_uri,sequence_id,genbank_accession,marker_id
0,1,38,BOLD:AAB6066,4432070,KX049096,2
1,1,38,BOLD:AAB6066,4432071,KX048890,2
2,1,39,BOLD:AAC8312,4431796,KX048338,2
3,1,39,BOLD:AAC8312,4432069,KX049801,2
4,1,39,BOLD:AAC8312,4432068,KX049064,2
5,1,39,BOLD:AAC8312,4432292,KX048732,2
6,1,39,BOLD:AAC8312,4432067,KX049447,2
7,1,39,BOLD:AAC8312,4468561,KX049823,2
8,1,131,BOLD:ABX6076,4016046,KF946552,2
9,1,131,BOLD:ABX6076,4015861,KF946551,2
10,1,132,BOLD:AAB5171,4015959,KF946556,2
11,1,132,BOLD:AAB5171,4016077,KF946553,2
12,1,132,BOLD:AAB5171,4016012,KF946555,2
13,1,132,BOLD:AAB5171,4015901,KF946562,2
14,1,132,BOLD:AAB5171,4015996,KF946560,2
15,1,132,BOLD:AAB5171,4016017,KF946563,2
16,1,132,BOLD:AAB5171,4016035,KF946559,2
17,1,132,BOLD:AAB5171,4015964,KF946557,2
18,1,132,BOLD:AAB5171,4016073,KF946554,2
19,1,132,BOLD:AAB5171,4016061,KF946558,2
20,1,132,BOLD:AAB5171,4015937,KF946561,2
21,1,214,BOLD:AAJ6643,9728851,KY610214,2
22,1,214,BOLD:AAJ6643,9728850,KY610213,2
23,1,214,BOLD:AAJ6643,9728848,KY610211,2
24,1,214,BOLD:AAJ6643,9728847,KY610210,2
25,1,214,BOLD:AAJ6643,9728852,KY610215,2
26,1,214,BOLD:AAJ6643,9728849,KY610212,2
27,1,242,BOLD:ABX5484,4431752,KX047778,2
28,1,242,BOLD:ABX5484,4431751,KX050125,2
29,1,242,BOLD:ABX5484,4431753,KX048967,2
30,1,289,BOLD:AAA8796,4432198,KX048962,2
31,1,339,BOLD:AAD8752,4432076,KX048366,2
32,1,354,BOLD:AAC4724,4015921,KF946564,2
33,1,354,BOLD:AAC4724,4015841,KF946565,2
34,1,355,BOLD:AAD3886,4015848,KF946568,2
35,1,355,BOLD:AAD3886,4015819,KF946569,2
36,1,355,BOLD:AAD3886,4015840,KF946566,2
37,1,355,BOLD:AAD3886,4015915,KF946567,2
38,1,356,BOLD:AAC7604,4016030,KF946573,2
39,1,356,BOLD:AAC7604,4015827,KF946575,2
40,1,356,BOLD:AAC7604,4015785,KF946577,2
41,1,356,BOLD:AAC7604,4015853,KF946576,2
42,1,356,BOLD:AAC7604,4015956,KF946574,2
43,1,356,BOLD:AAC7604,4016019,KF946571,2
44,1,356,BOLD:AAC7604,4015830,KF946570,2
45,1,356,BOLD:AAC7604,4016043,KF946572,2
46,1,384,BOLD:AAB3300,4444195,KX047677,2
47,1,445,BOLD:ACH2127,6131844,KX844495,2
48,1,526,BOLD:AAF0847,4432236,KX050155,2
49,1,579,BOLD:ADC1189,12291923,MN102102,2
50,1,585,BOLD:AAA7067,8012427,MK403275,2
51,1,585,BOLD:AAA7067,8012374,MK403261,2
52,1,585,BOLD:AAA7067,8012422,MK403237,2
53,1,585,BOLD:AAA7067,8012368,MK403047,2
54,1,585,BOLD:AAA7067,8012381,MK403115,2
55,1,585,BOLD:AAA7067,8012400,MK403520,2
56,1,585,BOLD:AAA7067,8012407,MK403064,2
57,1,585,BOLD:AAA7067,8012380,MK403546,2
58,1,585,BOLD:AAA7067,8012351,MK403188,2
59,1,585,BOLD:AAA7067,8012387,MK403543,2
60,1,593,BOLD:AAB7660,4016040,KF946580,2
61,1,593,BOLD:AAB7660,4016027,KF946579,2
62,1,593,BOLD:AAB7660,4016031,KF946578,2
63,1,593,BOLD:AAB7660,4015858,KF946581,2
64,1,609,BOLD:AAC9600,6863548,KF317852,2
65,1,609,BOLD:AAC9600,6863549,KF317853,2
66,1,609,BOLD:AAC9600,6863550,KF317854,2
67,1,609,BOLD:AAC9600,6863551,KF317855,2
68,1,660,BOLD:AAJ1281,5275979,KF369596,3
69,1,660,BOLD:AAJ1281,5227225,KF369278,2
70,1,678,BOLD:AAP7561,4432467,KX048337,2
71,1,715,BOLD:AAB9919,4432378,KX049093,2
72,1,800,BOLD:AAC7415,4432291,KX048976,2
73,1,874,BOLD:AAE6869,4443473,KX049989,2
74,1,882,BOLD:AAD6457,4431977,KX049215,2
75,1,882,BOLD:AAD6457,4431976,KX049429,2
76,1,884,BOLD:AAC0283,4443457,KX049396,2
77,1,948,BOLD:AAB9113,4444202,KX050027,2
78,1,948,BOLD:AAB9113,4444203,KX048471,2
79,1,948,BOLD:AAB9113,4444204,KX049918,2
80,1,954,BOLD:AAD1898,4432278,KX048853,2
81,1,954,BOLD:AAD1898,4432277,KX047955,2
