"species_marker_id,""species_id"",""database_id"",""marker_id"",""sequence_id"""
"1,1,0,0,""RMNH.INS.710961"""
"2,2,0,0,""RMNH.INS.710946"""
"3,4,0,0,""RMNH.INS.710991"""
"4,6,0,0,""RMNH.INS.691514"""
"5,14,0,0,""RMNH.COEL.119"""
"6,14,0,0,""RMNH.COEL.2650"""
"7,14,0,0,""RMNH.COEL.38908"""
"8,14,0,0,""RMNH.COEL.4479"""
"9,14,0,0,""RMNH.COEL.469"""
"10,14,0,0,""RMNH.COEL.493"""
"11,14,0,0,""RMNH.COEL.8181"""
"12,14,0,0,""RMNH.COEL.826"""
"13,14,0,0,""RMNH.COEL.9712"""
"14,14,0,0,""ZMA.COEL.5037"""
"15,25,0,0,""ZMA.CRUS.A.100183"""
"16,25,0,0,""ZMA.CRUS.A.100254"""
"17,25,0,0,""ZMA.CRUS.A.100302"""
"18,25,0,0,""ZMA.CRUS.A.100656"""
"19,25,0,0,""ZMA.CRUS.A.107310"""
"20,25,0,0,""ZMA.CRUS.A.200394"""
"21,25,0,0,""ZMA.CRUS.A.201812"""
"22,25,0,0,""ZMA.CRUS.A.400416"""
"23,25,0,0,""ZMA.CRUS.A.400417"""
"24,26,0,0,""RGM.809744"""
"25,26,0,0,""ZMA.MOLL.2285635"""
"26,28,0,0,""RGM.607106"""
"27,31,0,0,""RMNH.INS.712285"""
"28,31,0,0,""RMNH.INS.712288"""
"29,34,0,0,""RGM.69532"""
"30,34,0,0,""RMNH.PISC.2577.a"""
"31,34,0,0,""RMNH.PISC.27697"""
"32,34,0,0,""RMNH.PISC.D.1949"""
"33,34,0,0,""ZMA.PISC.126015"""
"34,35,0,0,""ZMA.PISC.126002"""
"35,37,0,0,""ZMA.INS.926329"""
"36,38,1,2,""4432070"""
"37,38,1,2,""4432071"""
"38,39,1,2,""4431796"""
"39,39,1,2,""4432067"""
"40,39,1,2,""4432068"""
"41,39,1,2,""4432069"""
"42,39,1,2,""4432292"""
"43,39,1,2,""4468561"""
"44,39,0,0,""ZMA.INS.1257793"""
"45,39,0,0,""ZMA.INS.1257803"""
"46,39,0,0,""ZMA.INS.1257806"""
"47,39,0,0,""ZMA.INS.1257915"""
"48,39,0,0,""ZMA.INS.1257922"""
"49,39,0,0,""ZMA.INS.1257962"""
"50,39,0,0,""ZMA.INS.1257965"""
"51,39,0,0,""ZMA.INS.1257969"""
"52,39,0,0,""ZMA.INS.1257973"""
"53,39,0,0,""ZMA.INS.1257991"""
"54,58,0,0,""RMNH.INS.786368"""
"55,58,0,0,""RMNH.INS.786377"""
"56,58,0,0,""RMNH.INS.786378"""
"57,58,0,0,""RMNH.INS.786396"""
"58,58,0,0,""RMNH.INS.786403"""
"59,58,0,0,""RMNH.INS.786433"""
"60,58,0,0,""RMNH.INS.786442"""
"61,58,0,0,""RMNH.INS.786445"""
"62,67,0,0,""RMNH.INS.795786"""
"63,67,0,0,""RMNH.INS.795787"""
"64,67,0,0,""RMNH.INS.795793"""
"65,67,0,0,""RMNH.INS.795800"""
"66,67,0,0,""RMNH.INS.795841"""
"67,67,0,0,""RMNH.INS.795861"""
"68,67,0,0,""RMNH.INS.798079"""
"69,67,0,0,""RMNH.INS.798082"""
"70,67,0,0,""RMNH.INS.798102"""
"71,67,0,0,""RMNH.INS.798107"""
"72,71,0,0,""RMNH.MOL.242231"""
