"tax_id","species_id","parent_tax_id","rank","name"
"131567",,,"no rank","cellular organisms"
"2759",,"131567","superkingdom","Eukaryota"
"33154",,"2759","clade","Opisthokonta"
"33208",,"33154","kingdom","Metazoa"
"6072",,"33208","clade","Eumetazoa"
"33213",,"6072","clade","Bilateria"
"33317",,"33213","clade","Protostomia"
"1206794",,"33317","clade","Ecdysozoa"
"88770",,"1206794","clade","Panarthropoda"
"6656",,"88770","phylum","Arthropoda"
"6843",,"6656","subphylum","Chelicerata"
"6854",,"6843","class","Arachnida"
"6893",,"6854","order","Araneae"
"6905",,"6893","suborder","Araneomorphae"
"74971",,"6905","clade","Entelegynae"
"74974",,"74971","clade","Orbiculariae"
"74975",,"74974","superfamily","Araneoidea"
"81835",,"74975","family","Linyphiidae"
"247617",,"81835","subfamily","Erigoninae"
"1926243",,"247617","genus","Abacoproeces"
"1926244",0,"1926243","species","Abacoproeces saltuum"
"197563",,"6656","clade","Mandibulata"
"197562",,"197563","clade","Pancrustacea"
"6960",,"197562","subphylum","Hexapoda"
"50557",,"6960","class","Insecta"
"85512",,"50557","clade","Dicondylia"
"7496",,"85512","subclass","Pterygota"
"33340",,"7496","infraclass","Neoptera"
"33392",,"33340","cohort","Endopterygota"
"7041",,"33392","order","Coleoptera"
"41071",,"7041","suborder","Adephaga"
"535382",,"41071","superfamily","Caraboidea"
"41073",,"535382","family","Carabidae"
"71541",,"41073","subfamily","Harpalinae"
"879230",,"71541","tribe","Pterostichini"
"102641",,"879230","genus","Abax"
"106380",1,"102641","species","Abax carinatus"
"106379",2,"102641","species","Abax ovalis"
"102642",3,"102641","species","Abax parallelepipedus"
"555424",4,"102641","species","Abax parallelus"
"41084",,"7041","suborder","Polyphaga"
"41088",,"41084","infraorder","Cucujiformia"
"71527",,"41088","superfamily","Tenebrionoidea"
"219420",,"71527","family","Melandryidae"
"433071",,"219420","genus","Abdera"
"1553012",5,"433071","species","Abdera affinis"
"1971261",6,"433071","species","Abdera flexuosa"
