"tax_id","species_id","kingdom","phylum","class","order","family","genus","species","identification_reference"
"AHCYFOOGKTT",0,"Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae","Abacoproeces","Abacoproeces saltuum","Koch, 1872"
"AHCYFBQVKCQ",1,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Abax","Abax carinatus","Duftschmid, 1812"
"AHCYFBQVLVE",2,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Abax","Abax ovalis","Duftschmid, 1812"
"AHCYFBQVMRK",3,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Abax","Abax parallelepipedus","Piller & Mitterpacher, 1783"
"AHCYFBQVNNR",4,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Abax","Abax parallelus","Duftschmid, 1812"
"69F61C44BE1",5,"Animalia","Arthropoda","Insecta","Coleoptera","Melandryidae","Abdera","Abdera affinis","Paykull, 1799"
"AHCYFBVIVVL",6,"Animalia","Arthropoda","Insecta","Coleoptera","Melandryidae","Abdera","Abdera flexuosa","Paykull, 1799"
"AHCYFBVIWWE",7,"Animalia","Arthropoda","Insecta","Coleoptera","Melandryidae","Abdera","Abdera triguttata","Gyllenhal, 1810"
"X1WRSSVAS5P",8,"Animalia","Arthropoda","Insecta","Hemiptera","Diaspididae","Abgrallaspis","Abgrallaspis cyanophylli","Signoret, 1869"
"T148ACPBSLR",9,"Animalia","Arthropoda","Insecta","Hymenoptera","Cimbicidae","Abia","Abia aenea","Leach, 1817"
"AHCYFATDUCD",10,"Animalia","Arthropoda","Insecta","Hymenoptera","Cimbicidae","Abia","Abia candens","Konow, 1887"
"AHCYFATDUYJ",11,"Animalia","Arthropoda","Insecta","Hymenoptera","Cimbicidae","Abia","Abia fasciata","Linnaeus, 1758"
"AHCYFATDVUQ",12,"Animalia","Arthropoda","Insecta","Hymenoptera","Cimbicidae","Abia","Abia lonicerae","Linnaeus, 1758"
"AHCYFATDWQX",13,"Animalia","Arthropoda","Insecta","Hymenoptera","Cimbicidae","Abia","Abia sericea","Linnaeus, 1767"
